,Brand name,Logo,IPR,Designation,Status,Status date,Number,Office,Nice classification,Owner
46,COCACOLA,,National Trademark Registration,Sudan,Registered,,20834,DoRG (Sudan),32,ذا كـوكا -كـولا كمبنى (USA)
47,CLUB COCA'COLA,,National Trademark Registration,France,Expired,,92444975,INPI (France),"14, 16, 25, 28, 41","THE COCA-COLA COMPANY, société constituée sous les lois de l'Etat de Delaware (USA)"
48,COCACOLA LIFE (DEVICE),,National Trademark Registration,India,Registered,,2624165,CGDPTM (India),32,THE COCA-COLA COMPANY (USA)
49,Coca.Cola Frozen,,National Trademark Registration,Egypt,Registered,,333046,ITDA (Egypt),32,ذا كوكا - كولا كومبنى - شركة محدودة المسئولية قائمة ومنظمة بموجب القوانين المرعية فى ديلاوير ، الولايات المتحدة الامريكية (USA)
50,COCA'COLA SPONSOR,,National Trademark Registration,France,Expired,,94505541,INPI (France),"32, 35",THE COCA-COLA COMPANY société constituée sous les lois de l'Etat de Delaware (USA)
51,LIVE POSITIVELY COCACOLA,,National Trademark Registration,Australia,Expired,,1246346,IPA (Australia),"32, 41",The Coca-Cola Company a corporation organised and existing under the laws of the State of Delaware (USA)
52,COCACOLA CROWN DEVICE,,National Trademark Registration,Eswatini,Registered,,1986000151,MoC (Eswatini),32,The Coca-Cola Company (USA)
53,LIVE POSITIVELY CocaCola,,National Trademark Registration,Korea (Republic of),Expired,,4.50029E+12,KIPO (Korea (Republic of)),"32, 41",더 코카콜라 컴파니 (USA)
54,LIVE POSITIVELY COCA.COLA,,National Trademark Registration,France,Expired,,3793908,INPI (France),"32, 41","The Coca-Cola Company, Société de droit américain constituée selon les lois de l'Etat du Delaware (USA)"
55,Wake Your Body CocaCola,,National Trademark Registration,Serbia,Registered,,68883,IPORS (Serbia),"29, 30, 32, 33",The Coca-Cola Company (USA)
56,THE COCACOLA AFRICA FOUNDATION,,National Trademark Registration,Kenya,Registered,,1065381,KIPI (Kenya),36,"THE COCA-COLA COMPANY, a Delaware Corporation (USA)"
57,COCACOLA CA,,National Trademark Registration,Sudan,Registered,,32918,DoRG (Sudan),32,ذى كوكا -كولا كمبانى (USA)
58,cocacola zero,,National Trademark Registration,Sudan,Registered,,34039,DoRG (Sudan),32,شركه كوكا كولا (USA)
59,DAIT COCACOLA,,National Trademark Registration,Sudan,Registered,,23567,DoRG (Sudan),32,شركة كوكا كولا (USA)
60,COCACOLA CLASSIC,,National Trademark Registration,Sudan,Registered,,23561,DoRG (Sudan),32,
61,COCA.COLA / THE REAL TASTE,,National Trademark Registration,Jordan,Registered,,70285,IPPD (Jordan),32,ذا كوكا كولا كومباني (USA)
62,ICH KORA.IHLAM KORA.ICHRAB COCACOLA,,National Trademark ,Morocco,Unknown,,62667,OMPIC (Morocco),32,THE COCA-COLA COMPANY (USA)
63,VIVEZ FOOTBALL VIBREZ FOOTBALL BUVEZ COCACOLA,,National Trademark Registration,Tunisia,Registered,,685,INNORPI (Tunisia),32,THE COCA-COLA COMPANY (USA)
64,ANYTIME. ANYPLACE. ALWAYS REFRESHING. COCA.COLA,,National Trademark Registration,Malaysia,Expired,,98004065,MyIPO (Malaysia),32,THE COCA-COLA COMPANY (USA)
65,عش كرة احلم كرة اشرب كوكاكولا COCACOLA,,National Trademark Registration,Tunisia,Registered,,686,INNORPI (Tunisia),32,THE COCA-COLA COMPANY (USA)
